"","x"
"100",66.823927586704
"101",66.6902018413774
"102",65.7274730794479
"103",66.7318655843132
"104",65.4670617501297
"105",64.3672064953009
"106",67.3800251454029
"107",65.6070170888661
"108",64.5403853253146
"109",65.6661841511676
"110",65.5721187393954
"111",64.8086674518782
"112",65.5353636663663
"113",66.6802261503683
"114",64.9446666827825
"115",64.1517041780676
"116",66.9357547714296
"117",66.7026604230803
"118",65.1123041880944
"119",65.6980949100148
"120",65.5219830470321
"121",67.5453269688031
"122",65.3987977552161
"123",65.6303097797352
"124",65.8515612382804
"125",64.4595427445431
"126",71.3672372596858
"127",67.8445978327446
"128",67.2761274716782
"129",68.2816418670008
"130",67.1504940596992
"131",67.930808127591
"132",67.6489737046576
"133",70.7818705111189
"134",67.8215300562219
"135",67.4551401111771
"136",68.3970303256778
"137",67.2143971298765
"138",68.0159016070207
"139",69.5177263973143
"140",69.8440913771178
"141",68.8258823128869
"142",67.7794450136138
"143",67.3386428959157
"144",67.6345606639873
"145",67.0365009249103
"146",67.8819328500904
"147",67.3399133536644
"148",68.287138760845
"149",68.2873255781433
"150",68.8787804322986
"151",68.8258823128869
"152",68.657692568007
"153",67.7752797809031
"154",69.577317695279
"155",68.8258823128869
"156",68.6976292373935
"157",69.4210109227586
"158",66.2254104344133
"159",66.5142883528042
"160",67.4794344376217
"161",69.5726385330949
"162",69.2370227695824
"163",67.5124225689332
"164",67.7795944729698
"165",67.2965781617487
"166",68.5604682429376
"167",67.5187583030753
"168",69.5357659657889
"169",70.2276367810445
"170",68.0842065875607
"171",66.2158774901031
"172",67.2965781617487
"173",67.7278307771819
"174",67.8602912095626
"175",67.1194661488878
"176",67.4708961754453
"177",64.9583609751305
"178",70.1067425246659
"179",66.4136650378108
"180",66.6490941543412
"181",66.7714041370338
"182",67.9987381365028
"183",67.4551401111771
"184",66.8194489881298
"185",66.8273354558935
"186",66.8505964752872
"187",67.1516104133023
"188",67.2037073265746
"189",68.1939587147327
"190",67.0770879651916
"191",67.6681385864918
"192",67.0612084902441
"193",67.7203888602231
"194",68.2089457087594
"195",67.2774985934051
"196",67.6042450300288
"197",67.4729102791913
"198",68.9846707838876
"199",69.7889108291147
"200",69.8727607113567
"201",66.1949991032619
"202",68.8711076290596
"203",66.193279455964
"204",69.577036091158
"205",69.5765158542076
"206",69.5533607953629
"207",70.088265333772
"208",68.9758189445998
"209",70.0970258803139
"210",68.8258823128869
"211",66.6365979319864
"212",69.2365074397742
"213",68.6929753781337
"214",69.3280001591458
"215",66.6240291950317
"216",68.8807894011096
"217",69.3259317383996
"218",66.6133617906631
"219",69.3395132664359
"220",68.9511187423687
"221",69.2439485943499
"222",69.8513259336436
"223",69.3366668340618
"224",68.9623174617901
"225",68.813632763786
"226",69.2383752590454
"227",69.1119306858173
"228",68.9719914790999
"229",69.0204130358758
"230",66.3406783677427
"231",68.8189243372538
"232",69.1235366666766
"233",69.0130919092815
"234",68.9347020198278
"235",69.0186340965848
"236",68.968702562945
"237",66.3173909537039
"238",69.0406109318533
"239",66.7836245663218
"240",68.9623174617901
"241",66.8301340897524
"242",69.1009877114312
"243",66.4193395167544
"244",66.4959191127477
"245",69.1264260295051
"246",67.0165411477652
"247",66.5502251033096
"248",66.6384442906582
"249",67.019614224887
"250",66.5605472082943
"251",66.8801245691792
"252",66.8585788530538
"253",66.7057864835461
"254",66.4028926893572
"255",66.6835815637047
"256",66.8020961148656
"257",66.7222016567331
"258",66.5268430585363
"259",67.1745414659607
"260",66.7499670919874
"261",66.2254104344133
"262",66.7504836588965
"263",66.8362711608757
"264",66.6732534357474
"265",66.4011085984735
"266",67.7352758935188
"267",67.4466076446819
"268",67.4794344376217
"269",67.2462916983429
"270",67.7682328307017
"271",68.1692345244192
"272",66.6990647959526
"273",67.6816406860191
"274",66.3542337449058
"275",66.9090210028728
"276",67.3016883224937
"277",66.7129814485583
"278",67.4794344376217
"279",66.3827622510955
"280",67.5303249492502
"281",67.306692214679
"282",66.6174383996052
"283",66.995308246329
"284",66.7924909619978
"285",66.8300872503679
"286",66.8512971706208
"287",67.2608308377925
"288",66.7495070929488
"289",66.7999644707434
"290",66.1629370050976
"291",66.793862730454
"292",73.0043143119075
"293",67.2844203996929
"294",66.9937863586906
"295",72.7733337170331
"296",70.6872817737877
"297",74.2131609648721
"298",73.0326739583887
"299",72.9452415605568
"300",72.9451099668834
"301",72.9799927390379
"302",76.6269384941067
"303",72.939831111233
"304",67.5110013980046
"305",72.9532594800825
"306",73.0494728462893
"307",69.3407870786989
"308",67.4043036123388
"309",68.8096600991441
"310",72.889744217762
"311",67.8435428505049
"312",67.0085411168329
"313",66.9773938623384
"314",67.5196234072537
"315",67.1697218031612
"316",67.4082786896246
"317",68.0123811101254
"318",67.2936336613984
"319",67.4476217474867
"320",68.5604682429376
"321",67.6643642923812
"322",67.8561466834157
"323",66.9783170729549
"324",67.1297009275801
"325",67.6435442277562
"326",67.5050200524198
"327",67.3576013751727
"328",67.3171597920488
"329",67.3202511240064
"330",67.6963210269823
"331",66.9420016265028
"332",67.4665799990512
"333",67.0048001107393
"334",68.5604682429376
"335",66.7582573195371
"336",67.3927944858169
"337",66.9534338227425
"338",67.319226163518
"339",67.3151092884349
"340",68.5604682429376
"341",67.5110013980046
"342",67.5828623763797
"343",66.7214683522149
"344",67.3181344956224
"345",67.3493229927361
"346",67.2548237143447
"347",67.682768877027
"348",67.6170608936418
"349",67.0969217693745
"350",67.6781201762878
"351",66.7435227094892
"352",66.8544977620255
"353",66.7735336735682
"354",66.9565566035029
"355",65.8979261673965
"356",65.0002046005092
"357",66.3276205059091
"358",67.3878511026168
"359",66.2031140211319
"360",64.4669231420505
"361",66.5307418999343
"362",67.1462310233194
"363",65.8046020984423
"364",67.3116181276944
"365",68.1236154270841
"366",68.918970081372
"367",67.8786154426997
"368",66.8704325824326
"369",66.6311491658894
"370",68.9149031161531
"371",67.603603484756
"372",68.3648986679973
"373",71.0141472175069
"374",66.9768655953135
"375",66.3455905591276
"376",66.3753277845881
"377",66.64826296189
"378",66.6322869512914
"379",67.8154834812114
"380",66.7542735522702
"381",66.8531689240971
"382",67.5832009743076
"383",70.1441451429979
"384",70.7485284087024
"385",67.0181874339887
"386",66.927686905157
"387",69.5734869360537
"388",66.8273354558935
"389",69.109788921782
"390",66.8284540163328
"391",66.5598028192092
"392",69.1870722955631
"393",66.3119627184568
"394",69.3280015443983
"395",66.4967197877719
"396",69.6025615411339
"397",68.8949039574302
"398",69.6150847154659
"399",69.0214765896658
"400",70.6522026904616
"401",66.335689795783
"402",66.4462143498789
"403",67.1211843169547
"404",68.1692345244192
"405",66.8192979970233
"406",69.289295314248
"407",66.3549837243771
"408",68.5113781445087
"409",66.8701617487628
"410",66.7533177043966
"411",66.377606635263
"412",66.7826689402245
"413",66.500363135074
"414",67.7795944729698
"415",67.292716755682
"416",67.3076546713019
"417",73.0101788495351
"418",67.3301334819864
"419",67.4625565153352
"420",66.449802445381
"421",66.738694875188
"422",66.9326646154832
"423",72.9623279017306
"424",68.9071762940767
"425",71.7218651576948
"426",67.8394146927619
"427",67.979096499305
"428",72.9660648416488
"429",67.9545756816522
"430",72.9647320513047
"431",67.2625791495989
"432",67.4665799990512
"433",67.4006172810387
"434",69.2478780598359
"435",68.8366890295279
"436",69.2657073571094
"437",69.3076103515595
"438",69.3260736312937
"439",66.6007190654423
"440",67.4079548583187
"441",67.4682536442396
"442",67.6390609852687
"443",66.5428453309291
"444",67.2753120314116
"445",65.8237179519636
"446",67.3999657047283
"447",67.0395055527717
"448",66.9363001014193
"449",68.6494059026438
"450",66.7956365413295
"451",64.2627695831328
"452",64.990016428322
"453",64.4367572898383
"454",63.7044802162752
"455",66.6187913643689
"456",69.3280001591458
"457",65.3976052012558
"458",69.6942770254254
"459",67.146769598489
"460",67.5096635214578
"461",66.1535749024374
"462",66.5733052095325
"463",67.1064737363924
"464",67.3697547095814
"465",67.4962289546425
"466",65.5749182368295
"467",67.1632668360019
"468",67.0281197044452
"469",70.460998015096
"470",66.6259431215141
"471",66.8203924578886
"472",66.8169585924419
"473",67.8411295463097
"474",66.9649379952276
"475",67.1623835885141
"476",67.8483168361882
"477",67.106190962147
"478",67.1663730593938
"479",66.3607826553663
"480",67.1806751262006
"481",72.0194847515295
"482",69.5230886457948
"483",72.063830953546
"484",72.0204739400596
"485",69.4522326430496
"486",73.543472818524
"487",73.2536129449217
"488",69.5000608603964
"489",72.0582253306372
"490",70.6273096341294
"491",68.0121720044777
"492",72.9428107793682
"493",69.7060870171003
"494",68.2989250776228
"495",68.2175702801973
"496",68.6623166278372
"497",68.6664309119442
"498",73.0884551164443
"499",70.2464909031782
"500",69.2330340406263
"501",73.1479222595173
"502",73.164025012943
"503",68.5685087928468
"504",70.0695778861595
"505",68.1604273267491
"506",67.9949982915245
"507",70.522288089493
"508",69.9541107000983
"509",73.2341120198481
"510",69.8284829697165
"511",67.5799618837695
"512",69.5749730560073
"513",72.3929575359295
"514",68.34457447788
"515",69.6166413975375
"516",70.241304678894
"517",69.2788302637996
"518",69.7939514881322
"519",69.7171228653519
"520",69.3423242943505
"521",72.7511120766744
"522",66.8591583025853
"523",70.0177562557244
"524",69.9407627873071
"525",68.9996893118716
"526",69.9100286932532
"527",69.89994633327
"528",70.874668226986
"529",69.2275883150534
"530",69.6083148570461
"531",70.1266381509041
"532",68.758756454145
"533",68.8320089638984
"534",69.6838843233951
"535",68.873000566722
"536",68.3205597980172
"537",72.086581963337
"538",69.8558995815618
"539",74.0112301809442
"540",73.1536766342382
"541",74.0920229289381
"542",73.8835453292574
"543",74.2300345069793
"544",73.943571647602
"545",73.7932984898407
"546",73.5050125502321
"547",73.2025601045808
"548",71.8488221180153
"549",73.0324567550178
"550",73.8966317772703
"551",71.9885956266913
"552",72.8308863709346
"553",72.3051524525736
"554",72.740632184746
"555",72.3102242947289
"556",73.8894801968347
"557",72.175852951412
"558",73.151802962266
"559",72.0975938199032
"560",73.0167930670711
"561",72.8406598973697
"562",72.5342147480607
"563",72.7684505736707
"564",72.5834755510997
"565",72.9292650450577
"566",71.8488221180153
"567",72.0656164185604
"568",73.2521480294619
"569",72.1069679991471
"570",73.279171539386
"571",71.9093819244674
"572",72.129109801814
"573",73.787515999913
"574",72.4679782657342
"575",72.3345395531956
"576",71.9467473266129
"577",73.284043444561
"578",68.7802796265848
"579",72.3345395531956
"580",72.8700698169361
"581",71.9921359236305
"582",71.9564366233814
"583",72.5009525201446
"584",72.6924454842318
"585",71.8856612075346
"586",74.4526697373197
"587",72.018446476043
"588",72.0850716990253
"589",73.2919234563502
"590",72.0017142641803
"591",72.2019274526419
"592",72.1930043163769
"593",72.7191411328231
"594",72.2800540477575
"595",72.3578061273657
"596",72.117283820082
"597",72.1292327610952
"598",72.2473982909076
"599",72.3123014893254
"600",72.3074136715894
"601",72.0542291627464
"602",71.9727612434254
"603",72.2429621078337
"604",71.9762860633859
"605",72.1490457638626
"606",72.3275774306128
"607",72.0381311508103
"608",72.0920970757649
"609",72.2709599834724
"610",72.0209127676702
"611",68.3661321107145
"612",73.0887652092557
"613",72.1512369824534
"614",71.9621985028519
"615",71.9407551383029
"616",71.9771740204415
"617",68.304445801977
"618",71.8490486541164
"619",71.4435214660942
"620",73.2571918124253
"621",69.7451444312447
"622",71.5324628952603
"623",69.6406955659034
"624",73.5841233427287
"625",72.7692602625556
"626",72.7643519280441
"627",70.0177562557244
"628",70.3991376468004
"629",70.0245535614229
"630",68.2749441856095
"631",68.8178352450333
"632",70.0599104758252
"633",67.6392041519209
"634",72.9986731579646
"635",69.2020806926892
"636",72.704518462213
"637",69.1704047248372
"638",68.5555633388009
"639",72.1725452418152
"640",73.4358756196491
"641",72.8952836276461
"642",73.6122347596572
"643",72.9656079971466
"644",70.3650533883552
"645",70.025504347224
"646",69.9934579294616
"647",70.1545917382762
"648",73.1886785316089
"649",70.1807716080845
"650",70.2514676360845
"651",73.1814113796059
"652",70.1670187915729
"653",72.5500400727672
"654",72.5009525201446
"655",72.0721983198053
"656",71.9775917136887
"657",71.9259267371626
"658",71.8490138198801
"659",72.5054461869624
"660",72.5054461869624
"661",72.4943404329522
"662",72.1817506029798
"663",72.1696311192634
"664",72.4996247057338
"665",72.0957345021367
"666",72.4204430512505
"667",72.1529063962444
"668",71.9806815633985
"669",71.8941818709216
"670",72.1762758901524
"671",72.5488043919712
"672",72.1048724147664
"673",71.9816553063153
"674",71.8488221180153
"675",72.0710747600783
"676",73.0384835523586
"677",66.3366780570511
"678",72.2351179143509
"679",72.7605588944239
"680",72.1105185174793
"681",72.1047711812033
"682",72.1048724147664
"683",72.083935219623
"684",69.0975325793472
"685",67.8248103962085
"686",70.8034076509311
"687",73.6505527078574
"688",69.2384274336711
"689",73.6171947705646
"690",73.0384835523586
"691",72.7879995413518
"692",72.1324668586683
"693",71.8314699598075
"694",68.7495646030645
"695",71.8310518684565
"696",73.1242819718889
"697",69.7157774306394
"698",72.2189680713301
"699",68.2107357218363
"700",68.3182314328936
"701",73.1902731700533
"702",72.7692602625556
"703",72.1757830122843
"704",70.8121292525114
"705",73.046058499478
"706",70.3192244491362
"707",68.3353308458848
"708",68.6008653539025
"709",71.7297995311189
"710",72.0394488956897
"711",69.0596355903348
"712",68.4073056878772
"713",68.5713723084053
"714",71.4632292098938
"715",73.3373256135445
"716",68.8178352450333
"717",73.5807936225631
"718",69.1346000226291
"719",72.6508443551713
"720",73.3036025910137
"721",68.4205611667064
"722",67.5294435661374
"723",70.8121292525114
"724",72.8952836276461
"725",72.947835619132
"726",71.5257164558648
"727",71.3277837102539
"728",71.9700110564084
"729",72.3011304156696
"730",72.0241248098034
"731",72.0927968308733
"732",71.9244050779368
"733",72.5086627292887
"734",73.0677817863717
"735",72.3695382066044
"736",74.2242531592016
"737",69.2406240673911
"738",72.1421609135842
"739",72.1958916971755
"740",68.5713723084053
"741",70.7682974455449
"742",68.3205597980172
"743",72.8700380019553
"744",74.2924029010292
"745",69.512657037324
"746",68.5713723084053
"747",68.3502659895224
"748",71.1424793515972
"749",71.9134414513145
"750",71.1403878675874
"751",69.9943942337675
"752",68.3013113261363
"753",69.3877181566938
"754",69.340014785299
"755",70.7685220048609
"756",67.3639760085947
"757",73.0390394883537
"758",68.8748617636146
"759",72.9467227383576
"760",70.2255148082451
"761",69.0188891960725
"762",68.2075222092737
"763",69.754979999686
"764",70.6571647226137
"765",68.8925528752708
"766",70.8105992147815
"767",68.7305800357213
"768",69.0194636171877
"769",69.1658621774329
"770",72.2575678949859
"771",68.9994061761694
"772",72.2998780554898
"773",71.7086335910895
"774",72.677324585618
"775",72.1089851913042
"776",72.9918609590199
"777",73.075404822216
"778",71.4798202821767
"779",69.157735857786
"780",70.3604590212762
"781",68.8283537530447
"782",73.3391745545084
"783",72.3780440031068
"784",69.0555250213302
"785",72.6055129928402
"786",69.3635684347856
"787",72.9615429890201
"788",72.1334572426408
"789",73.6246152726981
"790",72.4095847824258
"791",72.2185569285881
"792",72.2432569160697
"793",73.6245983048581
"794",73.3514717338556
"795",72.4858656506641
"796",72.2961709643075
"797",73.0735936092135
"798",72.7745093975298
"799",72.3996981435323
"800",72.443080733601
"801",70.9635086002747
"802",70.8327038177491
"803",70.3625191161231
"804",72.6077047732101
"805",70.5141100212708
"806",69.3255376242636
"807",73.1266805722501
"808",72.4858656506641
"809",72.1749331070845
"810",72.1893739384799
"811",72.1964956268442
"812",72.2039525710371
"813",72.3677530333378
"814",72.4352658627714
"815",72.170292031975
"816",72.1282800777314
"817",72.4377095851136
"818",72.1823679835271
"819",72.1811735515359
"820",72.262855179196
"821",72.2178843374115
"822",72.1555232430995
"823",71.9598399496785
"824",72.5114495442485
"825",72.2272205159476
"826",72.0555062827242
"827",69.1381066943973
"828",74.1234252751913
"829",72.4154474595156
"830",72.0700906556213
"831",72.1895548207512
"832",70.2736085621638
"833",69.3898106504783
"834",72.5684375578729
